6208
231 161
161 189
67 20
142 212
197 135
106 31
74 169
105 148
89 41
126 31
155 234
7 59
1 47
104 226
88 137
220 20
8 16
248 240
20 55
172 233
248 54
96 149
85 118
92 93
92 135
20 197
173 154
23 230
93 102
8 20
131 57
127 236
70 240
135 198
235 38
6 193
137 60
121 83
44 81
119 225
52 147
197 161
186 63
196 219
244 222
24 227
182 35
202 47
139 223
29 170
82 230
70 245
224 35
215 88
85 107
245 39
97 118
38 145
224 130
192 91
179 112
250 9
104 118
45 13
225 13
182 176
194 122
85 89
158 164
34 148
182 108
213 64
236 195
154 68
12 122
160 197
134 87
49 96
1 91
55 196
44 53
87 140
47 106
74 191
235 161
128 10
197 62
77 46
223 58
108 232
73 143
4 141
74 90
249 94
91 226
195 138
16 235
236 72
208 145
100 16
