8240
58 33
130 105
75 50
225 200
70 45
77 52
203 178
208 183
102 77
161 136
233 208
29 4
220 195
251 226
233 208
222 197
29 4
271 246
237 212
57 32
113 88
140 115
215 190
61 36
138 113
234 209
99 74
120 95
166 141
66 41
200 175
220 195
272 247
123 98
69 44
94 69
175 150
180 155
268 243
218 193
69 44
205 180
182 157
260 235
221 196
195 170
231 206
184 159
249 224
194 169
119 94
30 5
217 192
194 169
254 229
99 74
107 82
216 191
197 172
239 214
167 142
39 14
107 82
58 33
237 212
181 156
107 82
182 157
107 82
219 194
195 170
197 172
196 171
230 205
238 213
200 175
211 186
85 60
165 140
99 74
212 187
164 139
179 154
240 215
240 215
37 12
215 190
35 10
45 20
243 218
229 204
228 203
200 175
233 208
69 44
104 79
33 8
254 229
126 101
251 226
