6020
12 21
69 44
204 183
224 219
47 24
172 183
146 129
163 169
51 53
92 112
21 27
106 87
174 158
166 149
243 225
122 135
132 114
95 91
45 29
31 29
80 72
59 52
27 36
62 43
186 203
47 70
52 72
136 122
200 197
170 156
182 167
120 113
36 13
149 137
88 68
96 96
198 196
198 202
230 235
245 233
104 104
229 221
184 208
32 35
93 110
68 55
203 228
3 25
102 106
180 171
41 23
212 235
23 13
190 208
79 61
53 64
48 40
2 1
17 1
152 171
168 148
157 166
97 101
6 1
234 215
77 58
32 33
196 198
161 181
58 72
83 102
190 178
78 101
170 187
82 86
114 128
204 203
205 183
74 50
197 222
35 54
178 202
13 29
160 143
143 138
114 137
107 122
132 110
55 30
97 118
185 183
215 198
109 112
210 219
161 144
106 105
105 93
158 146
87 71
197 217
