6078
162 187
24 49
238 263
23 48
113 138
55 80
235 260
64 89
163 188
200 225
179 204
71 96
23 48
121 146
234 259
180 205
194 219
140 165
127 152
104 129
43 68
105 130
55 80
181 206
112 137
75 100
235 260
114 139
66 91
150 175
89 114
163 188
220 245
188 213
63 88
217 242
93 118
156 181
18 43
31 56
157 182
34 59
242 267
21 46
68 93
85 110
59 84
196 221
135 160
30 55
141 166
228 253
139 164
48 73
62 87
116 141
151 176
45 70
124 149
66 91
182 207
85 110
3 28
182 207
82 107
165 190
12 37
76 101
31 56
38 63
158 183
129 154
107 132
75 100
56 81
113 138
94 119
236 261
106 131
73 98
100 125
192 217
245 270
215 240
88 113
250 275
97 122
2 27
71 96
108 133
220 245
230 255
110 135
240 265
139 164
130 155
132 157
239 264
130 155
44 69
