6694
225 250
115 140
151 176
193 218
232 257
189 214
178 203
11 36
186 211
86 111
225 250
75 100
162 187
169 194
145 170
167 192
209 234
68 93
91 116
215 240
7 32
17 42
224 249
193 218
109 134
30 55
156 181
199 224
2 27
100 125
86 111
83 108
217 242
244 269
221 246
126 151
82 107
42 67
189 214
53 78
247 272
193 218
101 126
73 98
29 54
141 166
128 153
117 142
18 43
179 204
130 155
125 150
179 204
138 163
90 115
54 79
249 274
15 40
184 209
114 139
50 75
158 183
185 210
126 151
117 142
15 40
108 133
62 87
55 80
10 35
101 126
52 77
236 261
239 264
7 32
157 182
121 146
149 174
108 133
235 260
186 211
131 156
215 240
248 273
193 218
110 135
166 191
145 170
128 153
55 80
115 140
228 253
187 212
210 235
138 163
69 94
13 38
213 238
171 196
201 226
